review_id,class_name,source_image_path,labeling_status,manual_label_path,action,issue_type,notes
plastic_000163,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_24.jpg,TODO,,RELABEL,,
plastic_000164,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_14.jpg,TODO,,RELABEL,,
plastic_000165,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_10.jpg,TODO,,RELABEL,,
plastic_000166,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_11.jpg,TODO,,RELABEL,,
plastic_000167,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_27.jpg,TODO,,RELABEL,,
plastic_000168,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_08.jpg,TODO,,RELABEL,,
plastic_000169,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_19.jpg,TODO,,RELABEL,,
plastic_000170,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220900255.jpg,TODO,,RELABEL,,
plastic_000171,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_06.jpg,TODO,,RELABEL,,
plastic_000172,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_25.jpg,TODO,,RELABEL,,
plastic_000173,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006.jpg,TODO,,RELABEL,,
plastic_000174,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220900255_03.jpg,TODO,,RELABEL,,
plastic_000175,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_13.jpg,TODO,,RELABEL,,
plastic_000176,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_18.jpg,TODO,,RELABEL,,
plastic_000177,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_02.jpg,TODO,,RELABEL,,
plastic_000178,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220900255_02.jpg,TODO,,RELABEL,,
plastic_000179,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_28.jpg,TODO,,RELABEL,,
plastic_000180,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_21.jpg,TODO,,RELABEL,,
plastic_000181,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_03.jpg,TODO,,RELABEL,,
plastic_000182,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_23.jpg,TODO,,RELABEL,,
plastic_000183,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_04.jpg,TODO,,RELABEL,,
plastic_000184,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220900255_04.jpg,TODO,,RELABEL,,
plastic_000185,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_15.jpg,TODO,,RELABEL,,
plastic_000186,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_17.jpg,TODO,,RELABEL,,
plastic_000187,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_01.jpg,TODO,,RELABEL,,
plastic_000188,plastic,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_07.jpg,TODO,,RELABEL,,
