review_tier,tier_reason,output_image,target_class,confidence,bbox_area_ratio,warning_flags,split,preview_path,source_image
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000176.jpg,plastic,0.9570,0.1230,,train,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_18.jpg
5,target_class=paper matches the class driving real_aug's unsafe ACCEPT_SORT cases,paper_000081.jpg,paper,0.6596,0.1228,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_paper_000081_preview.jpg,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_09.jpg
5,target_class=paper matches the class driving real_aug's unsafe ACCEPT_SORT cases,paper_000094.jpg,paper,0.6945,0.1169,,train,,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_07.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000044.jpg,plastic,0.9716,0.1139,,val,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_20.jpg
5,target_class=paper matches the class driving real_aug's unsafe ACCEPT_SORT cases,paper_000095.jpg,paper,0.6880,0.0902,,train,,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_08.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000169.jpg,plastic,0.9634,0.0791,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_plastic_000169_preview.jpg,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_19.jpg
6,no quality/risk flags raised,glass_000161.jpg,glass,0.6765,0.3180,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_glass_000161_preview.jpg,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713_02.jpg
6,no quality/risk flags raised,metal_000165.jpg,metal,0.9517,0.2103,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_metal_000165_preview.jpg,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_16.jpg
6,no quality/risk flags raised,glass_000166.jpg,glass,0.8717,0.1985,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_glass_000166_preview.jpg,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713_04.jpg
6,no quality/risk flags raised,metal_000164.jpg,metal,0.8881,0.1857,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_metal_000164_preview.jpg,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_14.jpg
6,no quality/risk flags raised,metal_000044.jpg,metal,0.9331,0.1844,,val,,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_23.jpg
6,no quality/risk flags raised,metal_000162.jpg,metal,0.9285,0.1796,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_metal_000162_preview.jpg,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_17.jpg
6,no quality/risk flags raised,metal_000168.jpg,metal,0.9446,0.1620,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_metal_000168_preview.jpg,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_21.jpg
6,no quality/risk flags raised,metal_000179.jpg,metal,0.9454,0.1534,,train,,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_20.jpg
6,no quality/risk flags raised,metal_000041.jpg,metal,0.9518,0.1503,,val,,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_15.jpg
6,no quality/risk flags raised,metal_000043.jpg,metal,0.9472,0.1482,,val,,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_18.jpg
6,no quality/risk flags raised,metal_000178.jpg,metal,0.9543,0.1294,,train,,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_03.jpg
6,no quality/risk flags raised,glass_000042.jpg,glass,0.9060,0.1263,,val,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_val_glass_000042_preview.jpg,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713_03.jpg
6,no quality/risk flags raised,metal_000174.jpg,metal,0.9342,0.1243,,train,,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_19.jpg
6,no quality/risk flags raised,glass_000162.jpg,glass,0.4960,0.1233,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_glass_000162_preview.jpg,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713_08.jpg
6,no quality/risk flags raised,metal_000045.jpg,metal,0.8949,0.1138,,val,,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_13.jpg
6,no quality/risk flags raised,glass_000041.jpg,glass,0.8333,0.1133,,val,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_val_glass_000041_preview.jpg,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713_07.jpg
6,no quality/risk flags raised,metal_000163.jpg,metal,0.9403,0.1108,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_metal_000163_preview.jpg,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_11.jpg
6,no quality/risk flags raised,metal_000167.jpg,metal,0.9353,0.1094,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_metal_000167_preview.jpg,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_12.jpg
6,no quality/risk flags raised,glass_000168.jpg,glass,0.9696,0.1091,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_glass_000168_preview.jpg,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713_01.jpg
6,no quality/risk flags raised,metal_000170.jpg,metal,0.9374,0.1088,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_metal_000170_preview.jpg,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_09.jpg
6,no quality/risk flags raised,metal_000169.jpg,metal,0.9562,0.1077,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_metal_000169_preview.jpg,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_06.jpg
6,no quality/risk flags raised,glass_000164.jpg,glass,0.7718,0.1040,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_glass_000164_preview.jpg,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713_06.jpg
6,no quality/risk flags raised,metal_000173.jpg,metal,0.9535,0.0999,,train,,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_04.jpg
6,no quality/risk flags raised,metal_000171.jpg,metal,0.9376,0.0953,,train,,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_02.jpg
6,no quality/risk flags raised,metal_000172.jpg,metal,0.9483,0.0920,,train,,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_22.jpg
6,no quality/risk flags raised,metal_000042.jpg,metal,0.9310,0.0854,,val,,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_05.jpg
6,no quality/risk flags raised,metal_000177.jpg,metal,0.9251,0.0845,,train,,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546.jpg
6,no quality/risk flags raised,metal_000175.jpg,metal,0.9202,0.0843,,train,,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_07.jpg
6,no quality/risk flags raised,metal_000166.jpg,metal,0.9524,0.0843,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_metal_000166_preview.jpg,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_01.jpg
6,no quality/risk flags raised,metal_000176.jpg,metal,0.8459,0.0838,,train,,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_08.jpg
6,no quality/risk flags raised,metal_000161.jpg,metal,0.9365,0.0828,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_metal_000161_preview.jpg,datasets/recycling_material_real_selected/metal/KakaoTalk_20260707_220619546_10.jpg
6,no quality/risk flags raised,glass_000165.jpg,glass,0.6741,0.0770,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_glass_000165_preview.jpg,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713_09.jpg
6,no quality/risk flags raised,glass_000163.jpg,glass,0.6096,0.0726,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_glass_000163_preview.jpg,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713_05.jpg
